id,name,category_code,Operating,Acquired,IPO,Closed,Closed_date,country_code,region,first_funding_date,last_funding_date,funding_rounds,funding_total_usd,emp_engineering_degrees,emp_cs_degrees,emp_business_degrees,emp_matphy_degrees,emp_law_degrees,emp_social_degrees,emp_top_uni_degrees,emp_top_business_degrees,f_engineering_degrees,f_cs_degrees,f_business_degrees,f_matphy_degrees,f_law_degrees,f_social_degrees,f_top_uni_degrees,f_top_business_degrees,emp_big_5_people,emp_mbb_people,emp_industry_people,emp_successful_startup_people,emp_failed_startup_people,emp_succesful_founders,emp_failed_founders,f_big_5_people,f_mbb_people,f_industry_people,f_successful_startup_people,f_failed_startup_people,f_succesful_founders,f_failed_founders,founded_date
5322,GroundLink,web,1,0,0,0,,USA,New York,2008,2008,1,20000000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2004
5323,SafeList.com,web,1,0,0,0,,USA,San Diego,,,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
5324,Reppify,analytics,1,0,0,0,,USA,SF Bay,2009,2009,1,250000,0,1,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
5325,Excelerate Labs,consulting,1,0,0,0,,USA,Chicago,,,0,0,0,0,7,0,0,0,5,6,1,0,4,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2010
5326,Duo Security,security,1,0,0,0,,USA,Detroit,2010,2012,3,6999997,4,1,1,0,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2010
5327,Forrst,web,0,1,0,0,,USA,SF Bay,2011,2011,1,205000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2010
5328,made.com,ecommerce,1,0,0,0,,GBR,London,2010,2012,2,13028918,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2010
5329,GigaSpaces Technologies,software,1,0,0,0,,USA,New York,2005,2007,2,11000000,3,8,5,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2000
5330,Enure Networks,software,0,0,0,1,2009,ISR,Herzeliya,2006,2007,2,13000000,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2003
5331,Gerson Lehrman Group,other,1,0,0,0,,USA,New York,2006,2006,1,0,13,9,19,1,7,3,23,7,0,0,1,0,1,0,3,0,2,1,3,10,1,0,0,0,0,0,0,0,0,0,1998
